08:25 · 0/6 · p3_s0=-1 p3_s1=-1 p3_s2=-1 q3_s0=-1 q3_s1=-1 q3_s2=-1
08:30 · 0/6 · p3_s0=1000 p3_s1=1000 p3_s2=1000 q3_s0=1000 q3_s1=1000 q3_s2=1000
08:35 · 0/6 · p3_s0=1000 p3_s1=1000 p3_s2=1000 q3_s0=1000 q3_s1=1000 q3_s2=1000
08:40 · 0/6 · p3_s0=2000 p3_s1=2000 p3_s2=2250 q3_s0=2250 q3_s1=1000 q3_s2=2250
08:45 · 0/6 · p3_s0=3250 p3_s1=2000 p3_s2=2250 q3_s0=2250 q3_s1=2750 q3_s2=2250
08:51 · 0/6 · p3_s0=3250 p3_s1=3250 p3_s2=3500 q3_s0=3500 q3_s1=2750 q3_s2=2250
08:56 · 0/6 · p3_s0=4250 p3_s1=4500 p3_s2=3500 q3_s0=3500 q3_s1=4000 q3_s2=4000
09:01 · 0/6 · p3_s0=4250 p3_s1=4500 p3_s2=5250 q3_s0=4750 q3_s1=5250 q3_s2=5000
09:06 · 0/6 · p3_s0=5500 p3_s1=5500 p3_s2=5250 q3_s0=6000 q3_s1=5250 q3_s2=5000
09:11 · 0/6 · p3_s0=6500 p3_s1=6750 p3_s2=6250 q3_s0=6000 q3_s1=6250 q3_s2=6250
09:16 · 0/6 · p3_s0=6500 p3_s1=6750 p3_s2=6250 q3_s0=7250 q3_s1=6250 q3_s2=6250
09:21 · 0/6 · p3_s0=7500 p3_s1=7750 p3_s2=7500 q3_s0=7250 q3_s1=7500 q3_s2=7500
09:26 · 0/6 · p3_s0=7500 p3_s1=7750 p3_s2=7500 q3_s0=7250 q3_s1=7500 q3_s2=7500
09:31 · 0/6 · p3_s0=7500 p3_s1=7750 p3_s2=7500 q3_s0=7250 q3_s1=7500 q3_s2=7500
09:36 · 0/6 · p3_s0=7500 p3_s1=7750 p3_s2=7500 q3_s0=7250 q3_s1=7500 q3_s2=7500
09:41 · 0/6 · p3_s0=7500 p3_s1=8750 p3_s2=8500 q3_s0=7250 q3_s1=7500 q3_s2=7500
09:46 · 0/6 · p3_s0=8500 p3_s1=8750 p3_s2=8500 q3_s0=8250 q3_s1=8500 q3_s2=8500
09:51 · 0/6 · p3_s0=9500 p3_s1=10000 p3_s2=9500 q3_s0=9250 q3_s1=9500 q3_s2=8500
09:56 · 0/6 · p3_s0=9500 p3_s1=10000 p3_s2=9500 q3_s0=9250 q3_s1=9500 q3_s2=9750
10:01 · 0/6 · p3_s0=10750 p3_s1=11250 p3_s2=10750 q3_s0=10500 q3_s1=10750 q3_s2=11000
10:07 · 0/6 · p3_s0=10750 p3_s1=11250 p3_s2=11750 q3_s0=10500 q3_s1=10750 q3_s2=11000
10:12 · 0/6 · p3_s0=11750 p3_s1=12250 p3_s2=11750 q3_s0=11500 q3_s1=11750 q3_s2=11000
10:17 · 0/6 · p3_s0=13000 p3_s1=13500 p3_s2=13000 q3_s0=12750 q3_s1=13000 q3_s2=12750
10:22 · 0/6 · p3_s0=13000 p3_s1=13500 p3_s2=14000 q3_s0=12750 q3_s1=13000 q3_s2=12750
10:27 · 0/6 · p3_s0=14000 p3_s1=14750 p3_s2=14000 q3_s0=13750 q3_s1=14000 q3_s2=13750
10:32 · 0/6 · p3_s0=15250 p3_s1=14750 p3_s2=15250 q3_s0=15000 q3_s1=15250 q3_s2=13750
10:37 · 0/6 · p3_s0=15250 p3_s1=14750 p3_s2=15250 q3_s0=15000 q3_s1=15250 q3_s2=13750
10:42 · 0/6 · p3_s0=15250 p3_s1=14750 p3_s2=15250 q3_s0=15000 q3_s1=15250 q3_s2=13750
10:47 · 0/6 · p3_s0=15250 p3_s1=14750 p3_s2=15250 q3_s0=15000 q3_s1=15250 q3_s2=13750
10:52 · 0/6 · p3_s0=15250 p3_s1=14750 p3_s2=15250 q3_s0=15000 q3_s1=15250 q3_s2=13750
10:57 · 0/6 · p3_s0=16250 p3_s1=14750 p3_s2=15250 q3_s0=16000 q3_s1=16250 q3_s2=14750
11:02 · 0/6 · p3_s0=17250 p3_s1=14750 p3_s2=15250 q3_s0=17000 q3_s1=17250 q3_s2=14750
11:07 · 0/6 · p3_s0=17250 p3_s1=14750 p3_s2=15250 q3_s0=17000 q3_s1=17250 q3_s2=16000
11:12 · 0/6 · p3_s0=18500 p3_s1=14750 p3_s2=15250 q3_s0=18250 q3_s1=18500 q3_s2=17000
11:17 · 0/6 · p3_s0=18500 p3_s1=14750 p3_s2=15250 q3_s0=18250 q3_s1=18500 q3_s2=17000
11:23 · 0/6 · p3_s0=19500 p3_s1=14750 p3_s2=15250 q3_s0=19500 q3_s1=19500 q3_s2=18250
11:28 · 0/6 · p3_s0=20750 p3_s1=15750 p3_s2=16250 q3_s0=20500 q3_s1=20750 q3_s2=18250
11:33 · 0/6 · p3_s0=20750 p3_s1=15750 p3_s2=16250 q3_s0=20500 q3_s1=20750 q3_s2=19500
11:38 · 0/6 · p3_s0=21750 p3_s1=17000 p3_s2=16250 q3_s0=21750 q3_s1=21750 q3_s2=19500
11:43 · 0/6 · p3_s0=23000 p3_s1=18000 p3_s2=18000 q3_s0=21750 q3_s1=23000 q3_s2=20750
11:48 · 0/6 · p3_s0=23000 p3_s1=18000 p3_s2=19000 q3_s0=23000 q3_s1=23000 q3_s2=20750
11:53 · 0/6 · p3_s0=23000 p3_s1=19250 p3_s2=19000 q3_s0=23000 q3_s1=23000 q3_s2=20750
11:58 · 0/6 · p3_s0=23000 p3_s1=19250 p3_s2=20250 q3_s0=23000 q3_s1=23000 q3_s2=20750
12:03 · 0/6 · p3_s0=23000 p3_s1=20250 p3_s2=20250 q3_s0=23000 q3_s1=23000 q3_s2=20750
12:08 · 0/6 · p3_s0=24000 p3_s1=20250 p3_s2=21500 q3_s0=24000 q3_s1=23000 q3_s2=21750
12:13 · 0/6 · p3_s0=25000 p3_s1=21500 p3_s2=22750 q3_s0=24000 q3_s1=23000 q3_s2=21750
12:18 · 0/6 · p3_s0=25000 p3_s1=21500 p3_s2=22750 q3_s0=25000 q3_s1=24000 q3_s2=23000
12:23 · 2/6 · p3_s0=26000 p3_s1=21500 p3_s2=22750 q3_s0=26000 q3_s1=25000 q3_s2=24000
12:28 · 2/6 · p3_s0=26000 p3_s1=21500 p3_s2=22750 q3_s0=26000 q3_s1=25000 q3_s2=24000
12:33 · 3/6 · p3_s0=26000 p3_s1=21500 p3_s2=22750 q3_s0=26000 q3_s1=26000 q3_s2=25250
12:39 · 3/6 · p3_s0=26000 p3_s1=22500 p3_s2=23750 q3_s0=26000 q3_s1=26000 q3_s2=25250
12:44 · 4/6 · p3_s0=26000 p3_s1=22500 p3_s2=23750 q3_s0=26000 q3_s1=26000 q3_s2=26000
12:49 · 4/6 · p3_s0=26000 p3_s1=23500 p3_s2=24750 q3_s0=26000 q3_s1=26000 q3_s2=26000
12:54 · 5/6 · p3_s0=26000 p3_s1=24750 p3_s2=26000 q3_s0=26000 q3_s1=26000 q3_s2=26000
12:59 · 5/6 · p3_s0=26000 p3_s1=24750 p3_s2=26000 q3_s0=26000 q3_s1=26000 q3_s2=26000
13:04 · 5/6 · p3_s0=26000 p3_s1=25750 p3_s2=26000 q3_s0=26000 q3_s1=26000 q3_s2=26000
13:09 · 6/6 · p3_s0=26000 p3_s1=26000 p3_s2=26000 q3_s0=26000 q3_s1=26000 q3_s2=26000
